rating,title,review_text,reviewer_name,date,helpful_votes
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,"Sep, 2021",
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,"Excellent working , good one tq flipkart",,"Aug, 2021",
,,Good product for this price,,"May, 2021",
,,Awesome product. Less consumption of water.,,"Nov, 2020",
,,Worest experience ifb use after 10 days and demo not satisfied,,"Nov, 2020",
,,Value for money super washing...,,"Nov, 2020",
,,Good performance and good cleaning worth it,,", Jangaon",
,,Very bad product of IFB after 1month Mechine motor is compliant,,"Aug, 2021",
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,"Mar, 2021",
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Product ok but delivery and installation not satisfied,,,
,,Can't wash clothes properly..darts are still there in the cloth after 1 hour of washing with 60 ml arial liquid detergent..it can only clean swatting lines on the clothes..very disapointed,,"Jan, 2021",
,,Received product having dentings on the front side of Machine,,"Mar, 2021",
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,IFB really proved value for money.,,,
,,Very good performance,,,
,,IFB machine is Superb .I am very happy to got it. But Installations worker must need communication skills and I bought machine cover IFB its price very high 700 but quilty is low .,,,
,,Product is good but the demo and Installation was worst,,,
,,"Product is nine , machine is doing well , only issue with installation , no one came for installation. I did it my self. Rest ok .",,,
,,Within 2 months of period water sensor not working,,,
,,With in4 months 2 times water motor problems arise.,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Just wonderful loved it,,,
,,1 month after purchase : So far so good. Working well. No issues since purchase. Accessories seem a little expensive.,,,
,,Good one from Flipkart. We can buy since budget friendly,,,
,,First the service is very bad. And the machine doesn't have the features only dry. And the sound of the machine is terrible. Pls don't go for this. Buy something,,,
,,"Very nice design and Colour, Just love it",,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,It's Very Good 👍😊❤️❤️ Thanks 🙏❤️,,,
,,Not working and not replaced,,,
,,Its not a practical product because we are sure that this don't have 7 KG clothes capacity in this machine.,,,
,,Good Washing Machine for this budget.,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,Janardhana  BONTHU,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,"IFB, as always deliver Good product. Worth for money.",,,
,,Really good product it's value for money,,,
,,Installation person not guided all the function just check the product and say first you need to change faucet but it can also be used in normal faucet,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Good quality and best design best price in flipkart,,,
,,Product is good but only drawback is... There is no seperate container for comfort and detergent,,,
,,I am really happy to buy ifb product,,,
